epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1349.27,1.79248,3.33738,1.91648,0.15711,0.33333,0.11254,0.03666,2.25589,5.60376,2.3672,0.000662447,0.000662447,0.000662447
2,2276.01,1.94826,2.69385,2.02481,0.24034,0.17361,0.14005,0.04826,2.49999,3.61739,2.72527,0.0013028,0.0013028,0.0013028
3,3137.72,1.96239,2.35883,2.04901,0.03807,0.12153,0.02296,0.00726,2.28216,3.56373,2.60352,0.00191675,0.00191675,0.00191675
4,3994.52,1.98385,2.2538,2.06891,0.27147,0.32292,0.21161,0.07148,2.14376,2.69362,2.42121,0.0018812,0.0018812,0.0018812
5,4849.06,1.94086,2.12695,2.04159,0.42542,0.32135,0.34852,0.13653,2.37892,2.20356,2.75431,0.0018416,0.0018416,0.0018416
6,5706.91,1.89318,2.00793,2.00359,0.46684,0.43477,0.41785,0.15397,2.10786,2.16119,2.33147,0.001802,0.001802,0.001802
7,6565.25,1.83217,1.79956,1.91032,0.5606,0.40972,0.42738,0.17238,2.15862,2.28476,2.38206,0.0017624,0.0017624,0.0017624
8,7419.69,1.81446,1.78526,1.90643,0.54696,0.49467,0.52743,0.21407,2.01279,2.53117,2.24712,0.0017228,0.0017228,0.0017228
9,8271.04,1.79355,1.7477,1.8918,0.70984,0.46181,0.52585,0.21816,2.04352,2.04345,2.2535,0.0016832,0.0016832,0.0016832
10,9136.46,1.76731,1.6606,1.85216,0.7143,0.52083,0.58695,0.24931,2.03625,1.88968,2.27985,0.0016436,0.0016436,0.0016436
11,9989.72,1.7897,1.64175,1.87903,0.70699,0.56597,0.63762,0.27244,2.00612,1.65948,2.24882,0.001604,0.001604,0.001604
12,10946.2,1.73607,1.55589,1.8393,0.68374,0.53125,0.60147,0.24426,2.10567,1.72863,2.26283,0.0015644,0.0015644,0.0015644
13,12153,1.7093,1.52906,1.80291,0.73813,0.49306,0.57917,0.24683,2.0418,1.81059,2.24872,0.0015248,0.0015248,0.0015248
14,14159.3,1.70679,1.48452,1.79942,0.62705,0.52083,0.56136,0.24457,2.13261,1.74188,2.34617,0.0014852,0.0014852,0.0014852
15,15300.8,1.70882,1.48115,1.80807,0.78364,0.59107,0.68498,0.26825,2.12343,1.66407,2.37512,0.0014456,0.0014456,0.0014456
16,16477.2,1.72048,1.47969,1.81195,0.78044,0.55903,0.65238,0.27283,2.0439,1.61756,2.27696,0.001406,0.001406,0.001406
17,17718.8,1.69342,1.45067,1.80058,0.78055,0.56597,0.67397,0.28201,2.04241,1.53475,2.19704,0.0013664,0.0013664,0.0013664
18,18797.5,1.66752,1.42384,1.77905,0.77122,0.58681,0.67172,0.29232,2.03526,1.47707,2.20416,0.0013268,0.0013268,0.0013268
19,19662.2,1.66249,1.37496,1.75541,0.68693,0.63235,0.64641,0.28238,2.09343,1.52448,2.2376,0.0012872,0.0012872,0.0012872
20,20517,1.63097,1.36179,1.74424,0.79564,0.60764,0.67542,0.29274,2.04851,1.45074,2.24117,0.0012476,0.0012476,0.0012476
